Wk,Date,Lecture ,Lab,Code module,Comments
0,9/24,"Course intro (maybe mention what ME 104 skills we'll build on, so they review them); instructor XRP intro (actuators and sensors) and demo",,,What do we want to demo?  
1,9/29,,Assemble the XRP; connect; run the built-in motor/encoder/button/range tests.,,
,10/1,"Connecting to the class IDE, classes, objects, methods, instance variables; reading RawSensors. ▸ Release Challenge 1 (Robot Curling)",Read and print RawSensors (full robot state and input). Maybe also send some basic commands? ,,"How does this tie in with the pre-class python review thing? What is the right way to introduce classes and objects in this lecture? What is the right ""lab"" part here?"
2,10/6,"Brief DC motor recap (to motivate PWM as ""effort""), encoders recap (how they generally work), encoder measurement (correlating signal to rotation count), shape of the effort → speed curve (deadband, linear, limit), challenges in the effort→speed characterization (left/right differences, battery/load differences; approach: characterize nominal case and let feedback handle differences). ","Perform effort → speed characterization under load, somewhere on the floor. They can try the StopBox if they want (w/o PID implemented), to motivate addition of feedback control later.",SensorModel,Can we use the lab floor or hallway for students to perform effort → speed characterizations? Can we give them synthetic test data to evaluate their SensorModel accuracy on?
,10/8,"Feedforward control (feedback control dreams, implemented from their effort/speed map, then PID on residual), PID control recap (P+I+D components), PID tuning practices (Ziegler-Nichols / systematic trial and error correlations, noisy derivative, good control frequency, how to handle deadband and effort limits, i.e. anti wind-up). Maybe: position vs. velocity control?","Implement & tune WheelSpeedController (Initial pass with wheels in the air, and then fine-tuning on the floor)",WheelSpeedController,
3,10/13,"Rollover PID tuning (Ziegler-Nichols / systematic trial and error correlations, noisy derivative, good control frequency, how to handle deadband and effort limits, i.e. anti wind-up)",Tune WheelSpeedController ,WheelSpeedController,
,10/15,"⚑ Challenge 1 Robot Curling (WheelSpeedController, SensorModel)",,,"Shouldn't we remove StraightLineController? (to me, this seems like it's part of the fun!)"
4,10/20,"Differential drive (geometry converting between requested v/w and vL/vR to command); calibrating parameters (track width vs. effective track width from tire contact and slip, and how to estimate it) ▸ Release Challenge 2 (Arena Race)",Calibrate effective track width; Implement DifferentialDrive,DifferentialDrive,How can students evaluate how well their DifferentialDrive works?
,10/22,IR basics (emitter + photodetector); reactive line following (turning two channels into one continuous error signal to PID around),Calibrate reflectance; build the LineFollower,LineFollower,
5,10/27,"⚑ Challenge 2 Arena Race (LineFollower, DifferentialDrive, WheelSpeedController, SensorModel)",,,"I think it might makes sense to swap the two lectures in Week 5, to give students a bit more time to prepare for Challenge 2?"
,10/29,"Robot vs. world coordinate frames; basic odometry (integration, wraparound) and existence of drift; IMU intro (measures heading rate, not absolute);  ▸ Release Challenge 3 (Waypoint Courier)",Implement basic Odometry module; command square motion and evaluate drift,Odometry,How can we observe drift best? Drive a circle? Drive a box? 
6,11/3,"Complementary filters (encoders + IMU, blended with weight, how to pick alpha); absolute correction concept; overall state estimation architecture",Update Odometry module with complementary filter and absolute correction,"Odometry, NavigationController",
,11/5,Super quick FSM recap; Basic go-to-goal (turn-then-drive);  turn-drive FSM vs. blended motion. Maybe: pure pursuit?,Implement NavigationController,NavigationController,
7,11/10,"⚑ Challenge 3 Waypoint Courier (NavigationController, Odometry, DifferentialDrive, WheelSpeedController, SensorModel)",,,
,11/12,Occupancy grid; world↔cell conversion; concept of path planning as graph search; practicalities (obstacle inflation to account for robot width); ▸ Release Challenge 4 (Mapped Route) ,Load and visualize a given grid; implement inflation,GridPlanner,"We need to decide what good ""obstacles"" are for them to sense and path plan around (for both Challenges 4 and 5)"
8,11/17,"Grid path planning algorithms (BFS, Dijkstra, A*); grid path → waypoints (at turning points, path simplification/smoothing)",Implement A* on given grid,GridPlanner,
,11/19,Range sensing with the ultrasonic (how it works; beam cone); integration with GridPlanner; ▸ Release Final Challenge (Out-and-back),Collect ultrasonic data at known distances and build SensorModel.estimate_range(),,Is this too fast? Could also move this to Week 10
9,11/24,⚑ Challenge 4 Mapped Route checkoff,,,
,11/26,Thanksgiving — no class.,,,
10,12/1,Local re-planning around sensed obstacles,Free build time,,
,12/3,Course wrap-up; future of robotics,Free build time,,
11,Finals slot,⚑ Final Challenge: Out-and-Back,,,
